Date,Open,High,Low,Close,Volume,Adj Close
2016-03-04,11.15,11.32,11.10,11.18,15115100,11.18
2016-03-03,10.97,11.30,10.96,11.11,18077900,11.11
2016-03-02,10.93,11.06,10.77,10.90,12502800,10.90
2016-03-01,10.84,11.02,10.67,10.93,17236600,10.93
2016-02-29,10.64,10.85,10.60,10.69,15333900,10.69
2016-02-26,10.44,10.99,10.38,10.64,22765900,10.64
2016-02-25,10.16,10.46,9.95,10.34,35521800,10.34
2016-02-24,10.28,10.86,10.10,10.82,21542600,10.82
2016-02-23,10.61,10.63,10.25,10.31,12874300,10.31
2016-02-22,10.44,10.75,10.42,10.68,10841700,10.68
2016-02-19,10.49,10.49,10.05,10.32,13920200,10.32
2016-02-18,10.13,10.67,10.10,10.52,18741100,10.52
2016-02-17,9.88,10.10,9.87,10.08,11952700,10.08
2016-02-16,9.56,9.85,9.45,9.81,11513200,9.81
2016-02-12,9.09,9.44,9.03,9.42,9649000,9.42
2016-02-11,9.14,9.20,8.91,9.02,14674800,9.02
2016-02-10,9.24,9.47,9.19,9.28,12246800,9.28
2016-02-09,9.29,9.42,9.15,9.19,19145800,9.19
2016-02-08,9.76,9.81,9.21,9.37,15881800,9.37
2016-02-05,9.83,10.12,9.76,9.91,16972700,9.91
2016-02-04,9.60,9.94,9.60,9.86,11624700,9.86
2016-02-03,9.81,9.85,9.33,9.65,15262800,9.65
2016-02-02,9.83,9.97,9.73,9.88,21503300,9.88
2016-02-01,9.65,10.01,9.59,9.97,21709200,9.97
2016-01-29,9.58,9.72,9.40,9.71,47126700,9.71
2016-01-28,9.75,9.77,9.42,9.48,13377700,9.48
2016-01-27,9.64,9.89,9.57,9.62,9718700,9.62
2016-01-26,9.54,9.80,9.51,9.64,9863800,9.64
2016-01-25,9.79,9.81,9.45,9.49,14465200,9.49
2016-01-22,10.13,10.24,9.73,9.80,17277100,9.80
2016-01-21,9.61,10.01,9.51,9.94,25718000,9.94
2016-01-20,9.55,9.63,9.24,9.55,26894000,9.55
2016-01-19,10.27,10.28,9.70,9.76,26094900,9.76
2016-01-15,10.18,10.38,9.99,10.11,23453500,10.11
2016-01-14,10.60,10.82,10.54,10.62,28508800,10.62
2016-01-13,10.83,10.93,10.44,10.58,29752000,10.58
2016-01-12,10.76,10.89,10.57,10.82,16626500,10.82
2016-01-11,10.66,10.75,10.50,10.65,17000900,10.65
2016-01-08,10.83,10.92,10.55,10.58,17427200,10.58
2016-01-07,11.05,11.05,10.72,10.77,25073100,10.77
2016-01-06,11.52,11.52,11.20,11.29,16328600,11.29
2016-01-05,11.65,11.78,11.58,11.71,13558400,11.71
2016-01-04,11.58,11.66,11.45,11.60,15115600,11.60
2015-12-31,11.83,11.99,11.76,11.84,10243000,11.84
2015-12-30,11.91,11.96,11.81,11.84,8388800,11.84
2015-12-29,11.67,11.93,11.67,11.86,9661800,11.86
2015-12-28,11.70,11.72,11.58,11.63,8015000,11.63
2015-12-24,11.75,11.89,11.72,11.73,4626600,11.73
2015-12-23,11.75,11.79,11.66,11.75,11406600,11.75
2015-12-22,11.40,11.76,11.30,11.66,19668700,11.66
2015-12-21,11.60,11.63,11.31,11.43,18327000,11.43
2015-12-18,11.83,11.91,11.45,11.51,37791200,11.51
2015-12-17,12.28,12.35,11.89,11.90,25636700,11.90
2015-12-16,12.27,12.40,12.18,12.26,18098800,12.26
2015-12-15,12.22,12.47,12.20,12.21,18578000,12.21
2015-12-14,12.30,12.47,12.01,12.16,19218000,12.16
2015-12-11,12.14,12.28,12.04,12.21,20639200,12.21
2015-12-10,12.12,12.38,12.12,12.36,15118800,12.36
2015-12-09,12.08,12.45,12.05,12.11,23603500,12.11
2015-12-08,11.92,12.36,11.89,12.19,20595500,12.19
2015-12-07,12.21,12.47,12.07,12.15,21616400,12.15
2015-12-04,12.15,12.56,12.12,12.32,21815300,12.195999
2015-12-03,11.97,12.37,11.86,12.15,47349900,12.02771
2015-12-02,12.61,12.61,11.90,11.95,52272800,11.829724
2015-12-01,12.63,12.77,12.52,12.74,17801800,12.611772
2015-11-30,12.58,12.69,12.39,12.54,28852400,12.413785
2015-11-27,12.54,12.88,12.51,12.61,17214300,12.483081
2015-11-25,13.17,13.27,12.26,12.64,71908600,12.512779
2015-11-24,14.07,14.82,14.02,14.64,28906300,14.492649
2015-11-23,14.31,14.33,13.99,14.23,14518100,14.086775
2015-11-20,13.84,14.09,13.81,14.06,20111400,13.918487
2015-11-19,13.67,13.84,13.62,13.79,15354600,13.651204
2015-11-18,13.43,13.69,13.38,13.64,12828600,13.502714
2015-11-17,13.41,13.65,13.26,13.28,14773000,13.146337
2015-11-16,13.15,13.43,13.11,13.35,12704600,13.215633
2015-11-13,13.36,13.45,13.03,13.11,17493700,12.978048
2015-11-12,13.79,13.80,13.29,13.31,20432200,13.176036
2015-11-11,14.13,14.21,13.90,13.92,9752900,13.779896
2015-11-10,13.87,14.14,13.83,14.12,15740300,13.977883
2015-11-09,14.25,14.35,13.84,13.87,19631600,13.730399
2015-11-06,13.96,14.06,13.83,14.01,21712700,13.86899
2015-11-05,14.21,14.25,13.96,14.05,16651600,13.908588
2015-11-04,14.25,14.43,13.91,14.14,34907600,13.997682
2015-11-03,13.73,14.50,13.55,14.29,39579400,14.146172
2015-11-02,12.47,14.00,12.41,13.83,51620800,13.690802
2015-10-30,27.119999,27.389999,26.719999,26.959998,58129700,12.120185
2015-10-29,27.629998,27.769998,27.269999,27.369998,22002200,12.304505
2015-10-28,27.519999,27.999998,27.399999,27.98,18359200,12.578738
2015-10-27,27.919999,28.039998,27.349998,27.45,33424200,12.340471
2015-10-26,28.939998,29.019999,28.019998,28.069999,22048800,12.619199
2015-10-23,28.979998,29.249998,28.729999,29.029999,18330500,13.050778
2015-10-22,28.359999,28.92,28.359999,28.769999,17540900,12.933892
2015-10-21,28.589999,28.779999,28.209999,28.229999,18080000,12.691129
2015-10-20,28.819998,28.949998,28.459999,28.559998,18177500,12.839484
2015-10-19,28.599999,29.06,28.509999,28.979998,27508000,13.0283
2015-10-16,28.879999,28.959998,28.52,28.859999,26410600,12.974352
2015-10-15,29.039999,29.259999,28.729999,28.769999,26036200,12.933892
2015-10-14,29.129999,29.47,28.939998,29.419999,18953100,13.226107
2015-10-13,29.019999,29.60,28.93,29.229998,19378500,13.14069
2015-10-12,29.209998,29.359998,28.809998,29.299999,18726900,13.17216
2015-10-09,29.139999,29.769998,29.049999,29.299999,52431800,13.17216
2015-10-08,27.99,29.20,27.899998,29.179999,44186400,13.118212
2015-10-07,28.11,28.26,27.749998,28.009998,37784800,12.592225
2015-10-06,27.149999,28.12,27.109999,27.999998,46387100,12.587729
2015-10-05,26.349999,27.239999,26.24,27.18,34995100,12.219089
2015-10-02,25.009999,26.069999,24.999999,26.069999,34297500,11.720075
2015-10-01,25.519999,25.71,25.079998,25.349998,27526500,11.39639
2015-09-30,25.069998,25.71,24.939998,25.609998,42508900,11.513276
2015-09-29,24.48,24.949999,24.299999,24.649998,37439300,11.081697
2015-09-28,24.49,24.90,24.399998,24.569999,33171600,11.045732
2015-09-25,25.409999,25.449998,24.76,25.009999,27951700,11.24354
2015-09-24,25.179998,25.329998,24.939998,25.259999,30536700,11.35593
2015-09-23,25.649999,25.759999,25.29,25.489999,24554500,11.459329
2015-09-22,25.889998,26.289998,25.379999,25.649999,70321300,11.531259
2015-09-21,26.179999,26.699999,26.179999,26.439999,35254900,11.886413
2015-09-18,27.499998,27.529999,26.449999,26.539998,64914500,11.931369
2015-09-17,27.779999,28.269998,27.509999,27.569999,37588100,12.394418
2015-09-16,27.749998,28.549998,27.529999,28.469999,71039800,12.799023
2015-09-15,26.959998,27.269999,26.859999,27.109999,35193500,12.187619
2015-09-14,27.189998,27.509999,26.959998,27.04,28594700,12.15615
2015-09-11,27.18,27.31,26.92,27.149999,25235600,12.205602
2015-09-10,27.189998,27.499998,26.849999,27.329998,22748200,12.286522
2015-09-09,27.889998,28.009998,27.209998,27.259999,25772200,12.255054
2015-09-08,27.429999,27.629998,27.229998,27.59,22639200,12.403409
2015-09-04,27.419999,27.58,26.969999,26.989999,32748800,12.133672
2015-09-03,28.029998,28.699998,27.939999,28.129998,23986200,12.567047
2015-09-02,28.149998,28.159998,27.409999,27.999998,24898200,12.508969
2015-09-01,27.389999,28.149998,27.32,27.809999,39561800,12.424088
2015-08-31,27.809999,28.12,27.71,28.059999,32679000,12.535775
2015-08-28,27.699999,28.129998,27.659999,28.029998,32787800,12.522372
2015-08-27,27.389999,27.86,27.18,27.789999,39007500,12.415152
2015-08-26,26.36,27.129999,25.97,27.099998,50281800,12.106896
2015-08-25,27.18,27.379999,25.649999,25.69,51917400,11.47698
2015-08-24,25.609998,27.759998,24.849999,26.599999,77705900,11.883521
2015-08-21,26.949998,29.429999,26.939998,27.469998,82317400,12.272192
2015-08-20,27.509999,27.86,27.209998,27.349998,36584500,12.218583
2015-08-19,28.189999,28.369999,27.609998,27.739998,35782900,12.392815
2015-08-18,28.349999,28.579998,28.209999,28.39,23687600,12.683202
2015-08-17,28.499999,28.80,28.279998,28.609999,18111000,12.781487
2015-08-14,28.449999,28.829998,28.409998,28.709998,16725300,12.826161
2015-08-13,28.999999,29.409999,28.439998,28.449999,18760600,12.710007
2015-08-12,29.089998,29.129999,28.38,29.099998,28699300,13.000393
2015-08-11,29.939999,29.969999,29.299999,29.319999,20635200,13.098679
2015-08-10,29.47,30.289998,29.46,30.239999,21779500,13.509688
2015-08-07,30.019998,30.209999,29.399999,29.409999,22853200,13.138886
2015-08-06,30.40,30.779999,30.109999,30.14,23400200,13.465013
2015-08-05,30.019998,30.379999,29.969999,30.299998,22831400,13.536492
2015-08-04,30.049998,30.199999,29.519998,29.759998,27861700,13.295248
2015-08-03,30.589998,30.659999,29.829999,30.019998,25410000,13.411402
2015-07-31,30.709998,30.819998,30.479999,30.519999,26260200,13.634777
2015-07-30,30.219999,30.67,30.079999,30.619999,15541700,13.679452
2015-07-29,30.219999,30.449998,30.089999,30.299998,18873800,13.536492
2015-07-28,30.509999,30.529999,30.009998,30.27,17687800,13.52309
2015-07-27,30.489999,30.489999,30.079999,30.249999,21959400,13.514155
2015-07-24,31.179999,31.409998,30.54,30.81,51338300,13.764335
2015-07-23,31.019999,31.459999,30.799999,31.229998,33530100,13.951968
2015-07-22,30.419998,30.789999,30.349999,30.769999,26893000,13.746464
2015-07-21,30.149998,30.689998,30.089999,30.659999,37532600,13.697322
2015-07-20,30.40,30.54,30.099999,30.449998,26343800,13.603504
2015-07-17,30.339999,30.449998,29.949999,30.359999,27158400,13.563297
2015-07-16,30.629999,30.749999,30.339999,30.349999,23588000,13.55883
2015-07-15,30.549998,30.689998,30.40,30.499999,26173900,13.625842
2015-07-14,30.67,30.729998,30.459998,30.509999,19164700,13.63031
2015-07-13,30.94,30.979998,30.519999,30.739999,14817300,13.733062
2015-07-10,30.799999,30.879999,30.339999,30.649999,20429900,13.692855
2015-07-09,30.729998,30.839998,30.339999,30.389999,28691400,13.5767
2015-07-08,30.489999,30.68,30.319998,30.449998,34055300,13.603504
2015-07-07,30.519999,31.099998,30.209999,30.799999,39923400,13.759867
2015-07-06,30.379999,30.629999,29.719999,30.569998,25501800,13.657114
2015-07-02,30.699998,31.009999,30.639999,30.689998,34572900,13.710724
2015-07-01,30.329998,30.549998,29.949999,30.519999,40408700,13.634777
2015-06-30,30.069999,30.209999,29.519998,30.009998,42614000,13.406935
2015-06-29,30.329998,30.41,29.899998,29.969999,36351100,13.389065
2015-06-26,30.579998,30.899999,30.27,30.529999,44779000,13.639245
2015-06-25,31.709999,31.709999,31.069999,31.21,21054900,13.943034
2015-06-24,31.549999,31.769998,31.519998,31.539998,22556000,14.090461
2015-06-23,31.889998,31.899998,31.539998,31.629998,26198300,14.130668
2015-06-22,31.959999,31.999999,31.689999,31.699999,25077500,14.161941
2015-06-19,31.959999,32.099999,31.799998,31.799998,32953400,14.206615
2015-06-18,32.249999,32.56,32.02,32.079998,33620100,14.331705
2015-06-17,31.699999,32.309998,31.699999,32.209998,24212500,14.389783
2015-06-16,31.719999,31.759998,31.48,31.649998,28651500,14.139603
2015-06-15,32.269999,32.269999,31.649998,31.709999,26873000,14.166408
2015-06-12,32.479998,32.679999,32.199998,32.409999,11506300,14.479133
2015-06-11,32.939999,33.099998,32.469998,32.519999,19590500,14.528275
2015-06-10,32.659999,33.149998,32.659999,32.909999,14657000,14.702507
2015-06-09,32.659999,32.849998,32.29,32.579998,18063700,14.555079
2015-06-08,32.769999,32.929999,32.399999,32.69,20899600,14.604223
2015-06-05,33.330001,33.439997,32.819997,32.919997,26715800,14.628344
2015-06-04,33.54,33.830001,33.179999,33.299999,28373900,14.797201
2015-06-03,34.009997,34.259997,33.849997,33.959998,23260800,15.090479
2015-06-02,33.659998,34.279997,33.330001,33.879999,21692600,15.054931
2015-06-01,33.409998,33.990001,33.310001,33.759997,20373300,15.001607
2015-05-29,33.619997,33.699998,33.259996,33.40,27299100,14.841638
2015-05-28,33.709997,33.909998,33.469999,33.65,15106200,14.952728
2015-05-27,33.629999,33.819998,33.219999,33.779998,30496400,15.010494
2015-05-26,34.47,34.619998,33.259996,33.38,37517000,14.832751
2015-05-22,34.269999,35.599997,34.259997,34.759996,62989100,15.445967
2015-05-21,33.099998,33.939998,33.019998,33.830001,29584100,15.032713
2015-05-20,33.409998,33.449999,32.779997,33.069999,26427300,14.694999
2015-05-19,33.24,33.489999,33.209997,33.40,16899700,14.841638
2015-05-18,33.489999,33.52,33.009996,33.249998,19302300,14.774983
2015-05-15,33.599997,33.729999,33.289998,33.599997,21415800,14.930509
2015-05-14,33.509998,33.729999,33.40,33.699998,13458400,14.974946
2015-05-13,33.009996,33.479997,32.97,33.299999,13776400,14.797201
2015-05-12,33.319999,33.369998,32.900001,32.919997,19882100,14.628344
2015-05-11,33.40,33.819998,33.330001,33.699998,21954800,14.974946
2015-05-08,33.179999,33.499997,32.959997,33.409998,16641200,14.846081
2015-05-07,32.45,32.999998,32.269999,32.819997,17075800,14.583908
2015-05-06,33.189997,33.38,32.249999,32.499999,18630200,14.441713
2015-05-05,33.439997,33.669996,32.929999,33.159998,19213600,14.734991
2015-05-04,33.799998,33.889997,33.580001,33.65,11214600,14.952728
2015-05-01,33.199999,33.929998,33.199999,33.799998,25519200,15.019381
2015-04-30,33.310001,33.459997,32.839998,32.97,23163900,14.650563
2015-04-29,33.139998,33.560001,32.889998,33.319999,19029500,14.806089
2015-04-28,33.189997,33.24,32.729998,33.24,19676900,14.77054
2015-04-27,33.389998,33.389998,32.999998,33.069999,18521700,14.694999
2015-04-24,33.749999,33.749999,33.15,33.259996,16781700,14.779426
2015-04-23,33.199999,33.699998,33.13,33.38,18965400,14.832751
2015-04-22,33.299999,33.65,33.029996,33.509998,19969500,14.890517
2015-04-21,33.489999,33.619997,32.919997,33.209997,20619500,14.757208
2015-04-20,32.629999,33.449999,32.619998,33.409998,23557000,14.846081
2015-04-17,32.56,32.789999,32.33,32.529997,23481500,14.455043
2015-04-16,32.949999,33.169997,32.799997,32.809999,16646700,14.579465
2015-04-15,32.729998,33.269998,32.629999,33.039999,24667500,14.681668
