Date,Open,High,Low,Close,Volume,Adj Close
3/4/2016,66.139999,67.279999,66.089996,66.779999,9857800,66.779999
3/3/2016,65.949997,66.199997,64.879997,66.139999,11823600,66.139999
3/2/2016,66.209999,66.669998,66,66.209999,9160000,66.209999
3/1/2016,66.650002,66.889999,66,66.459999,10280500,66.459999
2/29/2016,66.629997,66.949997,66.220001,66.339996,9073000,66.339996
2/26/2016,68.080002,68.199997,66.300003,66.510002,10973300,66.510002
2/25/2016,67.449997,68.129997,67.330002,68.040001,9562300,68.040001
2/24/2016,66.190002,67.330002,65.720001,67.120003,9843600,67.120003
2/23/2016,65.839996,66.599998,65.279999,66.480003,11366900,66.480003
2/22/2016,64.660004,66.139999,64.660004,65.629997,10345000,65.629997
2/19/2016,63.889999,64.769997,63.439999,64.660004,15399100,64.660004
2/18/2016,63.740002,64.779999,62.349998,64.120003,27851600,64.120003
2/17/2016,66.099998,66.610001,65.809998,66.110001,12343600,66.110001
2/16/2016,66.610001,66.800003,65.5,65.900002,10661600,65.900002
2/12/2016,65.519997,66.25,64.870003,66.18,9625400,66.18
2/11/2016,65.019997,65.760002,64.779999,65.32,11088600,65.32
2/10/2016,66.190002,66.589996,65.650002,65.790001,9699300,65.790001
2/9/2016,65.489998,66.410004,64.68,65.809998,14134200,65.809998
2/8/2016,66.5,67.150002,65.160004,66.900002,18905500,66.900002
2/5/2016,66.860001,67.529999,65.879997,67,14115000,67
2/4/2016,65.760002,66.550003,65.010002,66.419998,12711700,66.419998
2/3/2016,67.309998,67.5,65.07,66.269997,12285700,66.269997
2/2/2016,67.300003,67.839996,66.279999,66.860001,13509600,66.860001
2/1/2016,65.910004,67.93,65.889999,67.5,14514700,67.5
1/29/2016,64.75,66.529999,64.739998,66.360001,16285000,66.360001
1/28/2016,64.029999,64.510002,63.43,64.220001,11257600,64.220001
1/27/2016,64.099998,65.18,63.889999,63.950001,10165300,63.950001
1/26/2016,63.360001,64.470001,63.259998,64,9167600,64
1/25/2016,62.779999,63.82,62.549999,63.450001,12757100,63.450001
1/22/2016,62.439999,63.259998,62.130001,62.689999,9153800,62.689999
1/21/2016,60.98,62.790001,60.91,61.880001,12052600,61.880001
1/20/2016,61.799999,62.330002,60.200001,60.84,17289100,60.84
1/19/2016,62.25,62.799999,62.009998,62.560001,12357200,62.560001
1/15/2016,61.549999,62.470001,61.259998,61.93,15102900,61.93
1/14/2016,62,63.619999,61.82,63.060001,12383000,63.060001
1/13/2016,63.73,63.73,61.830002,61.919998,13664400,61.919998
1/12/2016,64.379997,64.730003,63.43,63.619999,12178100,63.619999
1/11/2016,63.759998,64.470001,63.630001,64.220001,12642600,64.220001
1/8/2016,65.080002,65.410004,63.41,63.540001,17685800,63.540001
1/7/2016,62.970001,65.230003,62.919998,65.029999,26212600,65.029999
1/6/2016,62.48,63.950001,62.470001,63.549999,16535600,63.549999
