"female","LHML","LHEB","LHHD","LHMLD","LHAPD","RHML","RHEB","RHHD","RHMLD","RHAPD","LRML","LRMLD","LRAPD","RRML","RRMLD","RRAPD","LFML","LFBL","LFEB","LFAB","LFHD","LFMLD","LFAPD","RFML","RFBL","RFEB","RFAB","RFHD","RFMLD","RFAPD","LTML","LTPB","LTMLD","LTAPD","RTML","RTPB","RTMLD","RTAPD","BIB","LIBL","RIBL","LAcH","RAcH"
0,308.5,64,47.55,24.3,22,287.28,50.57,42.19,17.95,20.55,229,14.84,12.02,226.39,14.97,14.12,443,441.5,82,70.68,44.92,29.77,31.39,452,451,85,75.85,48.36,28.94,33.01,354.09,69.94,20.52,23.58,365.5,77,22.41,26.75,274,162,161,52.56,52.24
1,281.59,62.73,44.04,22.31,18.81,279.32,53.07,34.49,21.4,24.12,205.65,13,10.96,215.12,13.76,11.51,386,383,72,61.34,44.64,24.97,23.86,383,380.5,73,62,44.09,24.11,24.41,283,78.57,19.12,23.73,281.5,66.99,20.04,21.35,266,155.48,147.83,49.21,50.18
0,311,59,44.44,22.2,22.12,310,59.5,44.11,21.2,22.68,245.67,11.52,11.22,221.5,17.26,11.03,415,410,75,67.34,43.95,27.64,28.85,415.5,410,77.5,67.35,44.17,27.18,28.39,330,73,21.72,26.96,331.5,73,21.07,25.36,267.29,144.59,147.96,50.1,47.23
0,289,55,42.94,20.83,20.36,298,58.5,44.41,21.36,22.09,223.5,13.89,11.12,227,14.16,11.22,398,392,78.5,66.71,43.97,24.82,30.73,400,397,77.5,66.95,43.77,25.18,31.5,312,69,21.76,24.56,320.5,71.5,21.98,24.41,240.5,158.89,145,50.3,49.8
1,295,54,42.51,19.34,19.35,302,55,42.06,20.21,19.97,208,14.38,9.62,205,15.63,9.95,395,393,69,57.72,40.58,24.69,28.26,396,393,70,57.88,41.13,24.79,26.88,306,64,19.44,23.43,305,63.41,20.3,21.45,285.5,160,155,45.6,44.83
1,270.5,55,39.74,19.22,19.42,281,55.5,39.84,19.74,19.38,196.5,13.66,8.85,212.77,18.12,12.5,366.18,433.07,77.21,69.35,44.38,23.83,27.02,375,372.5,68,58.9,40.8,23.76,24.4,298,65,17.75,24.64,293.5,62.5,17.05,24.15,247.73,157.93,146.06,45.7,47.04
0,314.5,63,47.18,25.91,21.95,306.5,60,46.6,25.48,23.99,237,17.83,11.58,226,18.78,11.37,430,428,79,68.61,45.13,29.18,29.29,431,428,80,70.83,44.45,30.82,28.58,351,73,23.84,31.72,352,73,25.85,28.63,214.32,151.74,141.64,55.44,47.72
0,318,66.24,42.73,22.79,20.65,322,57,44.11,22.99,22.35,234,15.42,12.01,238,15.45,11.45,434.5,430.5,73,65.8,46.42,26.53,28.43,437,433,74,64.98,47.73,27.39,27.9,361,69,22.86,27.49,364,70,22.54,27.15,261,158,156,50.74,52.39
0,304.5,63.5,44.87,25.54,23.8,307,62,44.34,26.04,25.05,233,15.56,11.86,235,17.02,11.74,402.5,400.5,79,68.45,45.32,29.96,30.55,407,405,81,69.29,46.81,29.26,31.42,338,74.5,23.92,29.7,338,71,25.55,27.64,269,160,161,52.18,52.45
1,287,57,40.02,18.32,21.11,292.5,58,40.42,18.39,20.42,210.5,13.53,10.29,214,14.66,10.55,390,389,73,62.49,43.22,26.17,25.25,386,384.5,71,62.76,41.94,26.11,24.96,311,68,18.98,24.08,315,70,19.02,23.4,283,160,160,47.66,47.66
0,281,57,42.97,20.35,18.69,283,61.37,43.09,21.15,20.54,215,13.84,11.01,219.54,16.44,11.66,385,384,76.5,66.82,37.08,29.19,27.9,403.5,397,78,67.62,41.12,25.48,26.75,315,69.5,21,25.74,317.5,68,21.95,25.34,254,142.04,141.35,48.83,49.7
0,278,61.5,41.1,22.34,22.67,285,72.64,44.21,24.14,22.34,244.76,13.88,11.49,218.5,14.89,10.24,397.5,395,79,68.86,48.78,27.91,28.62,395,392,79,68.39,49.56,27.39,28.49,319,71.5,20.79,26.65,325.5,66.38,22.11,26.25,274,157,155,55.16,55.13
1,297.03,67.48,49,20.81,18.79,275,56.88,40.04,17.01,17.73,197.5,11.81,9.49,195,12.06,9.24,376,374,67.5,56.88,38.68,22.71,21.86,378,374,72.86,56.96,38.04,23.73,25.23,288,62,18.75,23.25,287,62,19.02,21.54,246.5,149,150,44.79,44.49
1,269,52,39.42,17.93,22.05,272,54,40.04,18.55,21.8,198.5,14.11,10.17,200,14.45,10.05,369,365,70,61.42,41.47,24.45,27.25,367,365,70.5,61.13,41.86,25.04,27.75,298,65.5,20.47,24.01,296,68,20.36,23.55,254,145,147,47.69,47.8
0,305,58.5,44.18,23.77,23.08,298,57,44,22.58,21.88,223,15.64,11.9,220.5,15.22,11.57,393,390.5,76,67.69,47.13,25.21,28.89,397,395,75,66.49,46.4,25.58,28.95,316,69,22.53,27.02,312.5,70,22.55,27.22,256,146,144,52.04,51.55
1,292.5,52,38.46,16.66,18.67,290.5,52,38.16,15.89,18.26,221.11,16.03,11.03,208.5,13.91,9.3,405.5,400,69,60.14,40.21,25.23,25.51,402.5,398,68,61.51,40.43,25.17,25.86,314,66,19.35,25.1,315,62.5,21.1,24.8,264,144,145,44.39,44.63
0,305.5,61,46.99,22.49,19.68,310.5,61.5,48.16,23.28,20.92,228.5,14.12,10.84,227,14.91,10.91,421,418,80.5,70.18,46.88,26.74,27.21,421,418.5,80.5,69.83,47.31,26.67,28.23,337,71.5,21.13,27.57,333,74,22.57,26.99,295,162,165,52.3,53.08
0,309.75,61.3,45.31,21.68,20.26,316,63,48.88,22.6,22.25,233.5,17.52,11.55,236,16.27,12.52,450,445.5,76.5,64.92,46.65,28.38,28.81,452.5,447,83,71.66,46.6,27.14,30.2,347,70,22.65,28.17,346,74,23.93,27.16,274,172.04,144.72,52.03,51.3
1,280,52,40.18,19.58,21.71,284.5,54,40.4,19.34,21.74,203,14.76,9.97,203.5,14.45,9.99,401.5,397,72,61.82,41.39,27.2,29.13,400,404.03,78.43,71.68,40.75,26.51,29.39,308.5,66,22.95,24.86,306.5,78.66,22.68,24.51,260,154,151,47.41,45.31
0,320,58,43.14,19.7,20.16,326,60,43.72,19.31,20.87,238.88,13.75,11.13,244,13.14,10.96,431,429.5,79,69.08,45.78,28.88,31.71,431,429,80,72.16,45.32,27.45,32.18,357,72,21.87,30.15,357,75,22.19,29.07,289.5,155,155,52.26,50.43
0,287,61.5,32.86,23.41,19.97,291,62,45.48,23.07,20.66,221,14.4,12.73,224,15.8,11.31,407.5,404.5,82,69.86,45.86,27.1,30.03,407,401,80.5,69.16,46.05,26.97,29.41,320,75.5,21.09,28.1,324,71.5,21.77,28.7,279,166,168,52.87,52.86
0,352.5,65.5,46.1,21.78,21.38,361,66,46.32,21.08,21.72,259,14.44,12.06,263,15.18,11.74,513.5,504,86.5,74.38,49.22,28.82,27.9,513,503.5,87,76.4,49.21,27.32,29.4,377,78,22.12,31.12,381,78,22.62,30.39,287,171,169,56.04,56.38
1,284.5,53,42.84,17.92,18.24,287,54.5,41.79,17.84,18.38,213,12.46,9.93,217,13.24,10.05,388,386,69.5,59.77,41.27,23.76,22.79,384,382,70,60.5,41.03,24.6,22.99,305,63,18.81,21.55,302,61.5,20.74,19.95,272,153.17,154,45.77,44.86
1,272,64.11,37.74,18.35,17.83,271.5,51,38.24,19.04,18.35,201,12.83,9.56,202.5,12.26,9.08,376,373.5,66,54.45,38,23.24,24.56,374,370,66,55.3,37.85,23.31,24.65,354.82,65.61,23.34,26.94,361.51,72.97,23.34,30.59,255.5,148,158.1,42.25,40.99
0,275,59,43.49,21.36,20.48,345.01,62.04,45.77,17.77,21.56,220,14.44,10.89,219,14.99,10.22,385,383,77,67.99,42.11,24.19,27,382.5,380.5,78.5,67.76,42.72,24.59,28.35,307,69,21.65,25.79,305,68,22.01,24.18,264,155,154,47.17,46.8
